#{"t_start": 1762492845.3286524, "env_id": "None"}
r,l,t
-6.206629,17,72.57147
-8.792025,19,72.632538
-7.363101,18,72.690704
-6.536953,17,72.745698
-7.519474,17,72.800361
-6.783713,17,72.854309
-6.526648,18,72.912012
-5.844461,18,72.969645
-9.433687,19,73.030325
-6.296313,18,73.087719
-9.603998,19,73.148724
-7.889067,18,73.206153
-4.480569,17,73.260787
-7.729158,19,73.321898
-8.014057,18,73.379848
-7.206353,17,73.434483
-7.914349,18,73.492079
-7.992341,18,73.549943
-7.723985,18,73.607528
-7.412039,17,73.661513
-6.705509,17,73.716097
-8.465882,18,73.774105
-8.149537,18,73.831599
-6.798055,17,73.885221
-8.657361,18,73.943054
-7.995289,18,74.000803
-7.214131,18,74.057814
-7.4365,17,74.538619
-6.479553,17,74.5931
-8.3093,18,74.650563
-7.372607,18,74.707719
-5.962914,17,74.762133
-6.299872,17,74.816719
-7.150665,17,74.870746
-5.933143,18,74.927714
-7.255926,18,74.985068
-7.525538,19,75.045779
-6.433053,17,75.099993
-7.225372,17,75.154431
-5.644799,17,75.208769
-8.647578,18,75.266097
-7.554818,18,75.323595
-5.205812,17,75.378297
-4.891226,17,75.43245
-6.799797,17,75.486516
-5.950925,18,75.543899
-4.938555,17,75.597835
-4.741811,17,75.651972
-5.70104,17,76.343679
-6.531898,17,76.397593
-6.710112,18,76.453667
-7.227734,17,76.506342
-6.817484,17,76.559359
-5.978897,17,76.611981
-6.881813,17,76.664655
-7.007673,17,76.717224
-7.937318,18,76.773353
-6.907771,17,76.82627
-5.766885,17,76.879529
-6.570857,17,76.932957
-6.19052,17,76.986417
-5.784142,18,77.042293
-5.309981,17,77.094997
-7.945135,18,77.467705
-7.264341,18,77.524301
-6.132027,17,77.577667
-4.644099,17,77.630383
-4.987348,17,77.682955
-5.060701,17,77.735545
-8.404838,19,77.794994
-8.283625,18,77.850912
-7.851157,18,77.906538
-7.296334,17,77.959255
-8.546573,18,78.016424
-6.256501,17,78.069271
-6.138741,17,78.121828
-7.184264,17,78.175177
-8.286207,18,78.231275
-7.352071,18,78.286733
-7.329313,17,78.338989
-7.314822,17,78.39195
-6.883828,18,78.4478
-7.591116,18,78.503663
-8.074868,18,78.559125
-5.081168,17,78.611871
-8.243085,18,78.667596
-7.805591,18,78.723233
-5.15698,17,78.775778
-5.8534,17,78.828923
-7.678622,18,78.884432
-4.910254,17,78.93702
-7.934377,18,78.993527
-8.822378,18,79.049488
-8.452049,18,79.104867
-7.572646,19,79.16387
-8.676592,19,79.223087
-6.958503,17,79.275964
-7.627087,18,79.331788
-7.094492,17,79.384931
-8.001409,18,79.755534
-7.92713,17,79.809211
-5.404783,18,79.865267
-7.119889,18,79.920786
-7.195065,17,79.973709
-5.917348,17,80.02715
-7.313991,18,80.082836
-6.165823,18,80.735348
-8.275828,18,80.791683
-8.700609,18,80.848648
-6.472308,18,80.904345
-6.126528,18,80.96005
-6.128516,17,81.013248
-7.579616,18,81.069698
-6.119611,17,81.122506
-6.837793,18,81.178565
-8.335177,18,81.235173
-6.157888,17,81.288218
-7.359545,18,81.34909
-5.681794,17,81.402037
-5.795669,18,81.458573
-7.277533,17,81.511589
-8.956974,19,81.570535
-5.831369,17,81.623021
-7.924657,18,81.679402
-6.219571,17,81.731989
-5.506976,17,81.784413
-7.640454,18,81.841216
-4.54915,17,81.89391
-7.031934,18,81.949554
-6.224795,17,82.00211
-5.984533,17,82.055477
-9.381865,19,82.11407
-6.92746,18,82.169388
-8.142449,18,82.224893
-5.089017,17,82.594282
-5.754304,17,82.648005
-6.044055,17,82.70086
-7.331262,17,82.753078
-6.208242,17,82.805457
-4.157949,17,82.859296
-6.113322,17,82.912092
-7.186382,17,82.9647
-10.012929,19,83.023652
-6.07346,17,83.076958
-5.59986,17,83.129336
-8.055071,18,83.185152
-6.53883,17,83.238007
-6.025572,18,83.294325
-6.500518,17,83.347294
-5.283756,17,83.399754
-6.403234,19,83.459383
-6.267152,17,83.512085
